reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
1ff584bb-d375-4ee6-a33c-2731cccdf9dd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,membantu,5,0,4.14.0,2025-10-24 15:50:57,,,4.14.0
17759567-1092-4e6c-b35f-8ffc8bc9d1a6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"miris lupa sandi, ingin meriset sandi, no telpon dan email benar tidak pernah di tukar, namun saat ingin riset bisa2nya sistem bilang salah terus, angka yg pakai **91 itu pdhal sudah betul nomor nyaaa, gimna si aplikasi nya mempersulit doang",1,0,,2025-10-24 15:44:03,,,
8954bfec-ecc3-455f-8fd3-a31db4bad15e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,aplikasi jelek sering log out sendiri,1,0,4.14.0,2025-10-24 15:42:31,,,4.14.0
ebd5c476-9eb1-44ff-8e73-5dbf1d1762ec,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi aneh , tiba² logout , skrg semua pendaftaran harus online , sedangkan aplikasinya butut , lagi daftar tiba² logout atau ga ngelag , aplikasi lemootttttttt",2,0,4.14.0,2025-10-24 15:19:03,,,4.14.0
5a0153e5-4dc7-4b2e-aaca-50cf22c799ba,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sangat mudah kita tidak perlu jauh jauh kekantor BPJS cukup dirumah sudah bisa ngurus perpindahan faskes, sangat bermanfaat terimakasih",5,0,4.14.0,2025-10-24 15:17:03,,,4.14.0
917aa75b-0e5e-4138-9848-90fc45bce6de,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,baru download mudah -mudahan sesuai dengan baik dan bijak,5,0,4.14.0,2025-10-24 15:09:58,,,4.14.0
6b51db5f-79c4-4b7a-a343-8f499291211a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"bayar tagihan hanya beranggotakan 2Orang, knp jdi beranggotakan 4Orang? ga sesuai niih BPJS sma datanya",3,0,4.14.0,2025-10-24 15:03:40,,,4.14.0
6b7344e8-ca59-4eaf-9723-c3f433c4ba79,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat membantu sekali terimakasih JKN mobile,5,0,4.13.1,2025-10-24 14:50:44,,,4.13.1
931bc196-52cc-4326-ac45-575b6da33444,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,membantu untuk mengetahui informasi sekila bpjs,4,0,4.14.0,2025-10-24 14:35:57,,,4.14.0
e18b4e2d-ac7b-45df-8400-f153b272b3d5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ok juga,5,0,,2025-10-24 14:33:01,,,
